title,company,location,posted,link,found_on
Data Science Analyst (Open external applicants),UNDP (United Nations Development Programme),"New York, United States",Posted Today,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31915,2026-05-04 20:00
Data Analyst,EXL Service,United States,Posted 1 Day Ago,https://fa-ewjt-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/13156,2026-05-05 13:00
Data Governance Implementation Analyst for Compliance,BNY Mellon,"Pittsburgh, PA, United States",Posted Today,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers/job/71732,2026-05-05 16:13
H0067 - Data Analyst Maintenance Wage,Virginia Department of Transportation (VDOT),"Richmond, VA, United States",Posted Today,https://etgi.fa.us8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_4005/job/12198,2026-05-11 21:33
Data Analyst - UT Southern (Pulaski TN),University of Tennessee,"Pulaski, TN, United States",Posted Today,https://fa-ewlq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/8060,2026-05-13 00:52
Data Analyst (Power BI | Project Controls | Program Analytics),Oceaneering,"Houston, TX, United States",Posted Today,https://ebfr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobs/job/10466,2026-05-13 13:33
Finance Data Management Analyst,Parsons Corporation,"Phoenix, AZ, United States",Posted Today,https://icfcjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Aerospace/job/112086,2026-05-14 15:03
Data Analyst- MSD,Patterson-UTI Energy,"Conroe, TX, United States",Posted Today,https://fa-elpm-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/5480,2026-05-14 15:52
Master Data Analyst,Waste Management (WM),United States,Posted Today,https://emcm.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/WMCareers/job/2347086,2026-05-14 16:03
Research and Data Analyst I,University of Minnesota,"Memphis, TN, United States","May 13, 2026 8:00:00 PM EDT",https://ibqajb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/475,2026-05-14 16:43
Data Analyst,University of South Florida,"Tampa, FL, United States","May 14, 2026",https://fa-ewkd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/USF/job/43447,2026-05-14 18:03
