title,company,location,posted,link,found_on
Ground Systems Software Engineer,SAIC,"Albuquerque, NM, United States",Posted Today,https://eihu.fa.us8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/2612112,2026-05-04 13:02
Software Engineer I,Oceaneering International,"Hanover, MD, United States",Posted Today,https://ebfr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobs/job/10383,2026-05-04 20:00
Software Engineer,SAIC,"Fort Meade, MD, United States",Posted Today,https://eihu.fa.us8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/2612137,2026-05-04 20:00
Junior/Mid-Level Software Engineer,SAIC,"Chantilly, VA, United States",Posted Today,https://eihu.fa.us8.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/2612147,2026-05-04 20:30
Full-stack Software Engineer,Ford Motor Company,"Dearborn, MI, United States",Posted Today,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/62388,2026-05-04 21:30
Platform Software Engineer,Ford Motor Company,"Dearborn, MI, United States",Posted Today,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/63314,2026-05-04 22:00
Software Engineer,Computershare,"Columbia, MD, United States",Posted Today,https://fa-evdq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/computersharecareers/job/11606,2026-05-05 13:00
Software Engineer I - US Person,The Aerospace Corporation,"Phoenix, AZ, United States",Posted Today,https://icfcjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Aerospace/job/109372,2026-05-05 16:42
Software Engineer,Ford Motor Company,"Allen Park, MI, United States",Posted Today,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/63001,2026-05-05 17:43
Software Engineer II,Akamai Technologies,United States,Posted Today,https://fa-extu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2809,2026-05-05 18:12
Test Equipment Software Engineer II,The Aerospace Corporation,"Minneapolis, MN, United States",Posted Today,https://icfcjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Aerospace/job/110561,2026-05-05 20:12
Software Engineer - Java Full Stack,DTCC,"Tampa, FL, United States",Posted Today,https://ebxr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/213501,2026-05-05 21:12
Platform Software Engineer,Ford Motor Company,"Dearborn, MI, United States",Posted Today,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/63403,2026-05-05 22:13
Software Engineer,Ford Motor Company,"Dearborn, MI, United States",Posted 1 Day Ago,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/62266,2026-05-06 00:12
Software Engineer II - West Coast,Akamai Technologies,United States,Posted Today,https://fa-extu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2121,2026-05-06 14:42
Software Engineer,Computershare,"Columbia, MD, United States",Posted Today,https://fa-evdq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/computersharecareers/job/11214,2026-05-06 17:12
Applied AI/ML Software Engineer-Supply Chain AI and Decision Intelligence,Ford Motor Company,"Dearborn, MI, United States",Posted Today,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/62010,2026-05-06 17:42
Software Engineer - Merch and Planning Systems,Sally Beauty,"Plano, TX, United States",Posted Today,https://eigx.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_13/job/50085,2026-05-06 18:12
Software Engineer,RBGlobal (Ritchie Bros.),"Westchester, IL, United States",Posted Today,https://fa-exew-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/7918,2026-05-06 18:12
Full Stack Software Engineer,Ford Motor Company,"Dearborn, MI, United States",Posted Today,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/63456,2026-05-06 18:12
Software Engineer,Akamai Technologies,United States,Posted Today,https://fa-extu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2312,2026-05-06 18:43
Software Engineer - Front End,NOV (National Oilwell Varco),"Houston, TX, United States",Posted Today,https://egay.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/41176,2026-05-06 19:42
