title,company,location,link,status,applied_on,notes
Testing Data Analyst,CACI International,"National Harbor, MD, US",https://caci.wd1.myworkdayjobs.com/en-US/External/job/National-Harbor-MD-US/Testing-Data-Analyst_326768-1,needs_review,2026-06-04 15:37,auth_failed:wrong_password_or_locked
Decision Science Analyst I (Mid-Level) – Life Company Data and Analytics,USAA,2 Locations,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Decision-Science-Analyst-I--Mid-Level----Life-Company-Data-and-Analytics_R0118118,needs_review,2026-06-04 15:39,stuck_no_advance:unknown
"Data Analyst, Data Analytics",Cardinal Health,OH-Ohio-Work from Home,https://cardinalhealth.wd1.myworkdayjobs.com/en-US/EXT/job/OH-Ohio-Work-from-Home/Data-Analyst--Data-Analytics_20181517,applied,2026-06-04 15:40,
Business Intelligence Analyst,Brown & Brown Insurance,Remote - USA,https://bbinsurance.wd1.myworkdayjobs.com/en-US/Careers/job/Remote---USA/Business-Intelligence-Analyst_R25_0000003381,needs_review,2026-06-04 15:40,auth_failed:wrong_password_or_locked
"Data & Product Analyst (Benchmarking), CoStar Debt Solutions",CoStar Group,US-MA Boston,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-MA-Boston/Data---Product-Analyst--Benchmarking---CoStar-Debt-Solutions_R39110,skipped,2026-06-04 15:50,no_apply_button
Testing Data Analyst,CACI International,"National Harbor, MD, US",https://caci.wd1.myworkdayjobs.com/en-US/External/job/National-Harbor-MD-US/Testing-Data-Analyst_326768-1,needs_review,2026-06-04 15:53,auth_stuck
Decision Science Analyst I (Mid-Level) – Life Company Data and Analytics,USAA,2 Locations,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Decision-Science-Analyst-I--Mid-Level----Life-Company-Data-and-Analytics_R0118118,needs_review,2026-06-04 15:57,auth_stuck
Business Intelligence Analyst,Brown & Brown Insurance,Remote - USA,https://bbinsurance.wd1.myworkdayjobs.com/en-US/Careers/job/Remote---USA/Business-Intelligence-Analyst_R25_0000003381,needs_review,2026-06-04 16:01,auth_stuck
"Data & Product Analyst (Benchmarking), CoStar Debt Solutions",CoStar Group,US-MA Boston,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-MA-Boston/Data---Product-Analyst--Benchmarking---CoStar-Debt-Solutions_R39110,needs_review,2026-06-04 16:12,auth_stuck
Testing Data Analyst,CACI International,"National Harbor, MD, US",https://caci.wd1.myworkdayjobs.com/en-US/External/job/National-Harbor-MD-US/Testing-Data-Analyst_326768-1,needs_review,2026-06-04 16:14,auth_stuck
Decision Science Analyst I (Mid-Level) – Life Company Data and Analytics,USAA,2 Locations,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Decision-Science-Analyst-I--Mid-Level----Life-Company-Data-and-Analytics_R0118118,needs_review,2026-06-04 16:17,auth_stuck
Business Intelligence Analyst,Brown & Brown Insurance,Remote - USA,https://bbinsurance.wd1.myworkdayjobs.com/en-US/Careers/job/Remote---USA/Business-Intelligence-Analyst_R25_0000003381,needs_review,2026-06-04 16:20,auth_stuck
