title,company,location,posted,link,found_on
Digital Analytics Analyst,Great American Insurance Group,Remote (USA),Posted 2 Days Ago,https://gaig.wd1.myworkdayjobs.com/en-US/GAIG_External/job/Remote-USA/Digital-Analytics-Analyst_R8915,2026-05-02 17:07
Epic Data Analytics Analyst II **Must Live In Or Relocate To CO****,Denver Health,"Administrative Offices - 601 Broadway, Denver, CO 80203",Posted 3 Days Ago,https://denverhealth.wd1.myworkdayjobs.com/en-US/DHHA-Main/job/Administrative-Offices---601-Broadway-Denver-CO-80203/Epic-Data-Analytics-Analyst-II---Must-Live-In-Or-Relocate-To-CO----_R16601,2026-05-04 11:00
Mortgage Risk & Analytics Analyst,Truist,"Richmond, VA",Posted Today,2+ yrs,https://truist.wd1.myworkdayjobs.com/en-US/Careers/job/Richmond-VA/Mortgage-Risk---Analytics-Analyst_R0112356,2026-05-05 14:16
Analyst - Advanced Analytics,LPL Financial,2 Locations,Posted Today,2+ yrs,https://lplfinancial.wd1.myworkdayjobs.com/en-US/External/job/Fort-MillCharlotte/Analyst---Advanced-Analytics_R-050362,2026-05-05 16:30
Oliver Wyman - Data & Analytics Consulting - Analyst (m/f/d) - Berlin,Marsh McLennan,5 Locations,Posted Today,—,https://mmc.wd1.myworkdayjobs.com/en-US/MMC/job/Berlin---Mittelstrasse/Oliver-Wyman---Data---Analytics-Consulting---Analyst--m-f-d----Berlin_R_326123-1,2026-05-05 16:30
"Supervisor, Advanced Analytics and Artificial Intelligence (AI)",RSM US,2 Locations,Posted Today,5+ yrs,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Supervisor--Advanced-Analytics-and-Artificial-Intelligence--AI-_JR118300,2026-05-05 16:31
Analyst - Operations Analytics,Inspire Brands,Atlanta Support Center,Posted Today,—,https://inspirebrands.wd5.myworkdayjobs.com/en-US/InspireCareers/job/Atlanta-Support-Center/Analyst---Operations-Analytics_JR40195,2026-05-05 22:45
People Analytics & Workday Reporting Analyst,Live Nation,3 Locations,Posted 2 Days Ago,3 yrs,https://livenation.wd503.myworkdayjobs.com/en-US/LNExternalSite/job/Work-From-Home---North-Carolina/People-Analytics---Workday-Reporting-Analyst_JR-88603-2,2026-05-06 03:00
Analytics Data Analyst (Hybrid Work Model),Sentry Insurance,"Stevens Point, WI",Posted 2 Days Ago,—,https://sentryinsurance.wd1.myworkdayjobs.com/en-US/SentryCareers/job/Stevens-Point-WI/Analytics-Data-Analyst_JR-142014,2026-05-06 03:01
Data Analyst - Marketing Analytics & Attribution Analyst,UPS,IN - TDC 1 (IN110),Posted 2 Days Ago,3+ yrs,https://hcmportal.wd5.myworkdayjobs.com/en-US/Search/job/IN---TDC-1-IN110/Data-Analyst---Marketing-Analytics---Attribution-Analyst_R26006283,2026-05-06 03:01
"Web Analyst, Insights & Analytics, LEGO® Education",LEGO Group,,Posted Today,—,https://lego.wd103.myworkdayjobs.com/en-US/LEGO_External/job/Billund/Web-Analyst--Insights---Analytics--LEGO--Education_0000034278,2026-05-06 09:00
Learning Analyst - Analytics,Lowes,"Mooresville, NC (SSC) 1999",Posted Today,5 yrs,https://lowes.wd5.myworkdayjobs.com/en-US/LWS_External_CS/job/Mooresville-NC-SSC-1999/Learning-Analyst---Analytics_JR-02494039,2026-05-06 12:45
Portfolio Analytics & Strategy Analyst (External Fraud Risk Analyst),PNC,4 Locations,Posted Today,2+ yrs,https://pnc.wd5.myworkdayjobs.com/en-US/External/job/Two-PNC-Plaza-PA374/Portfolio-Analytics---Strategy-Analyst--External-Fraud-Risk-Analyst-_R217384-1,2026-05-06 16:31
Commercial Analytics Analyst,ResMed,"San Diego, CA, United States",Posted Today,5-8 yrs,https://resmed.wd3.myworkdayjobs.com/en-US/ResMed_External_Careers/job/San-Diego-CA-United-States/Commercial-Analytics-Analyst_JR_050797-1,2026-05-06 17:16
"iCare Advanced Analytics and AI, Product Line Owner",Sanofi,2 Locations,Posted Today,8 yrs,https://sanofi.wd3.myworkdayjobs.com/en-US/SanofiCareers/job/Cambridge-MA/iCare-Advanced-Analytics-and-AI--Product-Line-Owner_R2855283,2026-05-06 18:16
