title,company,location,posted,link,found_on
Market Intelligence and Data Analyst,Huntsman Corporation,USA - Texas - Houston - The Woodlands - Corporate Office,Posted 2 Days Ago,https://huntsman.wd1.myworkdayjobs.com/en-US/Huntsman/job/USA---Texas---Houston---The-Woodlands---Corporate-Office/Market-Intelligence-and-Data-Analyst_J-019753,2026-05-02 17:11
Procurement & Purchasing Data Analyst,PerkinElmer,United Kingdom - OneSource Remote,Posted 3 Days Ago,https://newperkinelmer.wd1.myworkdayjobs.com/en-US/External/job/United-Kingdom---OneSource-Remote/Procurement---Purchasing-Data-Analyst_REQ-057242-1,2026-05-02 17:12
Configuration Data Analyst II,Blue Origin,"Space Coast, FL",Posted 3 Days Ago,https://blueorigin.wd5.myworkdayjobs.com/en-US/BlueOrigin/job/Space-Coast-FL/Configuration-Data-Analyst-II_R63705,2026-05-04 11:00
Data Analyst (Contract),Spin Master,"Wilton, CT",Posted 3 Days Ago,https://spinmaster.wd3.myworkdayjobs.com/en-US/SpinMaster_Careers/job/Wilton-CT/Data-Analyst--Contract-_R4805,2026-05-04 11:00
Financial Data Analyst,Marathon Health,Remote,Posted 3 Days Ago,https://marathonhealth.wd501.myworkdayjobs.com/en-US/Marathon-Health-Careers/job/Remote/Financial-Data-Analyst_JR107504,2026-05-04 11:01
Data Integration Analyst,MUFG Bank,"Tempe, AZ",Posted Today,https://mufgub.wd3.myworkdayjobs.com/en-US/MUFG-Careers/job/Tempe-AZ/Data-Integration-Analyst_10076238-WD,2026-05-04 16:15
"Data & Operations, Analyst",MUFG Bank,"Tempe, AZ",Posted Today,https://mufgub.wd3.myworkdayjobs.com/en-US/MUFG-Careers/job/Tempe-AZ/Data---Operations--Analyst_10076175-WD,2026-05-04 16:15
Data Analytics Audit Analyst II,Frost Bank,"San Antonio, TX - One Frost",Posted 3 Days Ago,https://frostbank.wd5.myworkdayjobs.com/en-US/External/job/San-Antonio-TX---One-Frost/Data-Analytics-Audit-Analyst-II_R260736,2026-05-04 16:15
Epic Data Analytics Analyst II **Must Live In Or Relocate To CO****,Denver Health,"Administrative Offices - 601 Broadway, Denver, CO 80203",Posted 3 Days Ago,https://denverhealth.wd1.myworkdayjobs.com/en-US/DHHA-Main/job/Administrative-Offices---601-Broadway-Denver-CO-80203/Epic-Data-Analytics-Analyst-II---Must-Live-In-Or-Relocate-To-CO----_R16601,2026-05-04 16:15
Global Commercial Data Analyst,Lonza,IN - Hyderabad,Posted 3 Days Ago,https://lonza.wd3.myworkdayjobs.com/en-US/Lonza_Careers/job/IN---Hyderabad/Global-Commercial-Data-Analyst_R75905,2026-05-04 17:15
"Principle Specialist, Configuration & Data Management Analyst",RTX,US-CA-GOLETA-B05 ~ 6875 Cortona Dr ~ BLDG B05,Posted Today,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-CA-GOLETA-B05--6875-Cortona-Dr--BLDG-B05/Principle-Specialist--Configuration---Data-Management-Analyst_01841419,2026-05-04 17:15
Data Analyst II - Inventory & SEO Growth,Rocket Companies,"Seattle, WA",Posted 3 Days Ago,https://quickenloans.wd5.myworkdayjobs.com/en-US/rocket_careers/job/Seattle-WA/Data-Analyst-II---Inventory---SEO-Growth_R-082580,2026-05-04 17:15
Data Analyst II - User Engagement & Conversion,Rocket Companies,"Seattle, WA",Posted 3 Days Ago,https://quickenloans.wd5.myworkdayjobs.com/en-US/rocket_careers/job/Seattle-WA/Data-Analyst-II---User-Engagement---Conversion_R-082581,2026-05-04 17:15
alternance 12 mois - data analyst,Sanofi,Val-de-Reuil,Posted Today,https://sanofi.wd3.myworkdayjobs.com/en-US/SanofiCareers/job/Val-de-Reuil/alternance-12-mois---data-analyst_R2855607,2026-05-04 17:15
Data Quality Analyst,ServiceTitan,Colombia Remote,Posted 3 Days Ago,https://servicetitan.wd1.myworkdayjobs.com/en-US/servicetitan/job/Colombia-Remote/Data-Quality-Analyst_JR114757,2026-05-04 17:15
Data Analyst - Marketing Analytics & Attribution Analyst,UPS,IN - TDC 1 (IN110),Posted Today,https://hcmportal.wd5.myworkdayjobs.com/en-US/Search/job/IN---TDC-1-IN110/Data-Analyst---Marketing-Analytics---Attribution-Analyst_R26006283,2026-05-04 17:15
Data Analyst II,Walmart,"Bentonville, AR",Posted Today,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Bentonville-AR/Data-Analyst-II_R-2457610,2026-05-04 17:15
Data Analyst II - Data Ventures,Walmart,"Bentonville, AR",Posted 3 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Bentonville-AR/Data-Analyst-II---Data-Ventures_R-2410197-1,2026-05-04 17:15
Analytics Data Analyst,Sentry Insurance,"Stevens Point, WI",Posted Today,—,https://sentryinsurance.wd1.myworkdayjobs.com/en-US/SentryCareers/job/Stevens-Point-WI/Analytics-Data-Analyst_JR-142014,2026-05-04 17:31
Operations Data & Financial Analyst,Skechers,"Rancho Belago, CA",Posted Today,—,https://skechers.wd5.myworkdayjobs.com/en-US/One-career-site/job/Rancho-Belago-CA/Operations-Data---Financial-Analyst_JR127715,2026-05-04 17:31
Data Quality Analyst - Transplant,UMMC (Univ of MS Med Ctr),"Jackson, MS - Main Campus",Posted Today,—,https://ummc.wd5.myworkdayjobs.com/en-US/UMCCareers/job/Jackson-MS---Main-Campus/Data-Quality-Analyst---Transplant_R00050006-1,2026-05-04 17:45
Contact Center Data Analyst,FNB Corp,2 Locations,Posted 3 Days Ago,—,https://fnbcorp.wd501.myworkdayjobs.com/en-US/FNBCORP/job/Pittsburgh-PA/Contact-Center-Data-Analyst_2026-01070,2026-05-04 19:15
"People & Risk Process, Data and Reporting Analyst",Marsh McLennan,2 Locations,Posted Today,2-5 yrs,https://mmc.wd1.myworkdayjobs.com/en-US/MMC/job/Melbourne---727-Collins/People-and-risk-process-and-data-analyst_R_346767,2026-05-04 20:01
Business Insights Analyst II (Business/Data Analyst-US),TD Bank,3 Locations,Posted Today,3+ yrs,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/Mount-Laurel-New-Jersey/Business-Insights-Analyst-II--Business-Data-Analyst-US-_R_1485803,2026-05-04 20:01
Data Analyst,Uline,5 Locations,Posted 3 Days Ago,45+ yrs,https://uline.wd1.myworkdayjobs.com/en-US/Uline_Careers/job/Pleasant-Prairie-WI/Data-Analyst_R262681-1,2026-05-04 20:01
Oliver Wyman - Data & Analytics Consulting - Analyst (m/f/d) - Berlin,Marsh McLennan,5 Locations,Posted Today,—,https://mmc.wd1.myworkdayjobs.com/en-US/MMC/job/Berlin---Mittelstrasse/Oliver-Wyman---Data---Analytics-Consulting---Analyst--m-f-d----Berlin_R_326123-1,2026-05-05 10:45
Quality Data Analyst,JLL,"Chicago, IL",Posted Today,1-3 yrs,https://jll.wd1.myworkdayjobs.com/en-US/jllcareers/job/Chicago-IL/Quality-Data-Analyst_REQ504459,2026-05-05 13:45
Materials Data Integration Analyst - (Onsite),RTX,US-CT-EAST HARTFORD-ETC ~ 400 Main St ~ BLDG ETC,Posted Today,8 yrs,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-CT-EAST-HARTFORD-ETC--400-Main-St--BLDG-ETC/Materials-Data-Integration-Analyst----Onsite-_01842166-1,2026-05-05 14:45
Business Data Analyst - SaaS,Motorola Solutions,"Texas Remote Work, More...",Posted Today,—,https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/job/Texas-Remote-Work/Business-Data-Analyst---SaaS_R64689-1,2026-05-05 16:30
Data Platforms Analyst (National Geographic),Walt Disney Company,"Washington, DC, USA",Posted Today,2+ yrs,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Washington-DC-USA/Data-Platforms-Analyst--National-Geographic-_10149626,2026-05-05 16:31
Data Governance Analyst - Data Catalog,IDEXX Laboratories,5 Locations,Posted Today,3-5 yrs,https://idexx.wd1.myworkdayjobs.com/en-US/IDEXX/job/Westbrook-ME/Data-Stewart---Business-Systems-Analyst--Enterprise-Data-Catalog_J-051457,2026-05-05 17:00
Tech Data Analyst,Lamb Weston,"Kennewick, WA, USA (Kennewick Office)",Posted Today,3+ yrs,https://lambweston.wd1.myworkdayjobs.com/en-US/Lamb_External/job/Kennewick-WA-USA-Kennewick-Office/Tech-Data-Analyst_Req-259735,2026-05-05 18:15
Oracle Health Data Management Analyst,Huron Consulting Group,Chicago - 550 Van Buren,Posted Today,—,https://huron.wd1.myworkdayjobs.com/en-US/huroncareers/job/Chicago---550-Van-Buren/Oracle-Health-Data-Management-Analyst_JR-0015098,2026-05-05 22:45
"Data Analyst, Specialist",Vanguard,2 Locations,Posted Today,—,https://vanguard.wd5.myworkdayjobs.com/en-US/vanguard_external/job/Malvern-PA/Data-Analyst--Specialist_174107-1,2026-05-06 00:45
Data Analyst,Uline,5 Locations,Posted Today,45+ yrs,https://uline.wd1.myworkdayjobs.com/en-US/Uline_Careers/job/Pleasant-Prairie-WI/Data-Analyst_R263733-1,2026-05-06 04:46
Equity Index Data Analyst,LSEG,2 Locations,Posted Today,1+ yrs,https://lseg.wd3.myworkdayjobs.com/en-US/Careers/job/IND-BLR-Divyasree-Technopolis/Equity-Index-Data-Analyst_R0118670-1,2026-05-06 05:03
