title,company,location,posted,link,found_on
Data Engineer,Applied Information Sciences (AIS),Remote - VA,Posted 3 Days Ago,https://appliedis.wd5.myworkdayjobs.com/en-US/AIS_Careers/job/Remote---VA/Data-Engineer_JR2026001184-1,2026-05-04 11:01
Software & Data Engineer – Financial Technology - Launch Program,SS&C Technologies,"Union, NJ",Posted 3 Days Ago,https://ssctech.wd1.myworkdayjobs.com/en-US/SSCTechnologies/job/Union-NJ/Software---Data-Engineer---Financial-Technology---Launch-Program_R42203,2026-05-04 17:15
Data Engineer,SWBC Financial Services,"San Antonio, TX",Posted Today,https://swbc.wd1.myworkdayjobs.com/en-US/swbccareers/job/San-Antonio-TX/Data-Engineer_R0014827,2026-05-04 17:15
"Data Engineer, Specialist",Vanguard,"Malvern, PA",Posted 3 Days Ago,https://vanguard.wd5.myworkdayjobs.com/en-US/vanguard_external/job/Malvern-PA/Data-Engineer--Specialist_177349,2026-05-04 17:15
Data Engineer,QBE Insurance,2 Locations,Posted Today,—,https://qbe.wd3.myworkdayjobs.com/en-US/qbe-careers/job/PHI---Manila/Data-Engineer_355059,2026-05-04 19:15
Junior Data Engineer,QBE Insurance,2 Locations,Posted Today,—,https://qbe.wd3.myworkdayjobs.com/en-US/qbe-careers/job/PHI---Manila/Junior-Data-Engineer_355063,2026-05-04 19:15
Data Engineer II,Lennar,2 Locations,Posted 3 Days Ago,3-5 yrs,https://lennar.wd1.myworkdayjobs.com/en-US/Lennar_Jobs/job/Irving-TX-Job-Posting-Location/Data-Engineer-II_R26_0000001179,2026-05-04 20:01
Data Engineer,Kyndryl,2 Locations,Posted Today,—,https://kyndryl.wd5.myworkdayjobs.com/en-US/KyndrylProfessionalCareers/job/Bangalore-Karnataka-India/Data-Engineer_R-59063,2026-05-04 20:01
Journeyman Data Engineer,Leidos,2 Locations,Posted Today,4-8 yrs,https://leidos.wd5.myworkdayjobs.com/en-US/External/job/Alexandria-VA/Journeyman-Data-Engineer_R-00180212,2026-05-04 20:01
Data Engineer - Databricks,McKesson,5 Locations,Posted Today,4+ yrs,https://mckesson.wd3.myworkdayjobs.com/en-US/External_Careers/job/USA-OH-Columbus/Data-Engineer---Databricks_JR0145514,2026-05-04 20:01
"Data Engineer, Finance Data & BI",McKesson,"USA, VA, Richmond",Posted Today,4+ yrs,https://mckesson.wd3.myworkdayjobs.com/en-US/External_Careers/job/USA-VA-Richmond/Data-Engineer--Finance-Data---BI_JR0146609,2026-05-04 20:01
Data Engineer II,Pacific Life,Charlotte - NC,Posted Today,2+ yrs,https://pacificlife.wd1.myworkdayjobs.com/en-US/PacificLifeCareers/job/Charlotte---NC/Data-Engineer-II_R16749,2026-05-04 20:01
Data Engineer,PNC,5 Locations,Posted 3 Days Ago,3+ yrs,https://pnc.wd5.myworkdayjobs.com/en-US/External/job/PA---Pittsburgh-15222/Data-Engineer_R219743-1,2026-05-04 20:01
"Data Engineer, Finance",RSM US,2 Locations,Posted Today,1-2 yrs,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Minneapolis/Data-Engineer--Finance_JR119322,2026-05-04 20:01
"Data Engineer, Specialist",Vanguard,2 Locations,Posted Today,—,https://vanguard.wd5.myworkdayjobs.com/en-US/vanguard_external/job/Charlotte-NC/Data-Engineer--Specialist_177212,2026-05-04 20:01
2026 Raytheon Full Time- Software Data Engineer II (Remote),RTX,US-IN-REMOTE,Posted Today,100 yrs,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-IN-REMOTE/XMLNAME-2026-Raytheon-Full-Time--Software-Data-Engineer-II--Remote-_01842575,2026-05-05 11:01
2026 Raytheon Full Time- Software Data Engineer I (Remote),RTX,US-IN-REMOTE,Posted Today,100 yrs,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/job/US-IN-REMOTE/XMLNAME-2026-Raytheon-Full-Time--Software-Data-Engineer-I--Remote-_01842571,2026-05-05 11:15
"Data Engineer, Specialist",Vanguard,2 Locations,Posted Today,—,https://vanguard.wd5.myworkdayjobs.com/en-US/vanguard_external/job/Malvern-PA/Data-Engineer--Specialist_177760-1,2026-05-05 11:16
Data Engineer,Mass General Brigham,Somerville-MA,Posted Today,1-3 yrs,https://massgeneralbrigham.wd1.myworkdayjobs.com/en-US/MGBExternal/job/Somerville-MA/Data-Engineer_RQ4062120,2026-05-05 13:30
Data Engineer,Leidos,"Sterling, VA",Posted Today,6-8 yrs,https://leidos.wd5.myworkdayjobs.com/en-US/External/job/Sterling-VA/Data-Engineer_R-00182598,2026-05-05 17:45
Data Engineer,Lamb Weston,"Eagle, ID, USA (Global Headquarters)",Posted Today,3 yrs,https://lambweston.wd1.myworkdayjobs.com/en-US/Lamb_External/job/Eagle-ID-USA-Global-Headquarters/Data-Engineer_Req-259739,2026-05-05 19:15
"Data Engineer II, Burger King, US&C",Restaurant Brands International,Corp - Miami Corporate Office,Posted Today,3+ yrs,https://rbi.wd3.myworkdayjobs.com/en-US/RBI_External_Career_Site/job/Corp---Miami-Corporate-Office/Data-Engineer-II--Burger-King--US-C_R3167,2026-05-05 22:45
Data Engineer,Manulife,2 Locations,Posted Today,5-7 yrs,https://manulife.wd3.myworkdayjobs.com/en-US/MFCJH_Jobs/job/Toronto-Ontario/Data-Engineer_JR25120543,2026-05-05 23:15
"Data Engineer, Specialist",Vanguard,"Charlotte, NC",Posted Today,—,https://vanguard.wd5.myworkdayjobs.com/en-US/vanguard_external/job/Charlotte-NC/Data-Engineer--Specialist_177044,2026-05-06 11:16
Junior Developer / Data Engineer – AI Platforms,The Hartford Financial Services,5 Locations,Posted Today,0-2 yrs,https://thehartford.wd5.myworkdayjobs.com/en-US/Careers_External/job/Chicago-IL/Junior-Developer---Data-Engineer---AI-Platforms_R2625192,2026-05-06 13:15
AI Data Engineer--LLMs / Agentic Systems,Pfizer,United States - Massachusetts - Cambridge,Posted Today,2+ yrs,https://pfizer.wd1.myworkdayjobs.com/en-US/PfizerCareers/job/United-States---Massachusetts---Cambridge/AI-Data-Engineer--LLMs---Agentic-Systems_4952924-1,2026-05-06 16:15
Data Engineer,International Rescue Committee,3 Locations,Posted Today,3-6 yrs,https://theirc.wd1.myworkdayjobs.com/en-US/External_Careers/job/Nairobi-IHUB-Kenya/Data-Engineer_JR00001757,2026-05-07 08:15
"Data Engineer II, Strategic Ingestion Product",Travelers,2 Locations,Posted 2 Days Ago,—,https://travelers.wd5.myworkdayjobs.com/en-US/external/job/CT---Hartford/Data-Engineer-II--Strategic-Ingestion-Product_R-49639,2026-05-07 11:31
Data Engineer,Thomson Reuters,,Posted Today,3+ yrs,https://thomsonreuters.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/India-Bengaluru-Karnataka/Data-Engineer_JREQ199677,2026-05-07 11:45
Associate Data Engineer - AML,Truist,3 Locations,Posted Today,—,https://truist.wd1.myworkdayjobs.com/en-US/Careers/job/Charlotte-NC/Associate-Data-Engineer---AML_R0113286,2026-05-07 11:46
Data Engineer II,Rocket Companies,"Seattle, WA",Posted Today,3+ yrs,https://quickenloans.wd5.myworkdayjobs.com/en-US/rocket_careers/job/Seattle-WA/Data-Engineer-II_R-082895,2026-05-07 15:15
"Data Engineer I,  CNN Digital Products and Services",Warner Bros. Discovery,2 Locations,Posted Today,1-2 yrs,https://warnerbros.wd5.myworkdayjobs.com/en-US/global/job/NY-New-York-30-Hudson-Yards/Data-Engineer-I---CNN-Digital-Products-and-Services_R000105204,2026-05-07 15:16
Data Engineer II - Snowflake AI,Rocket Companies,"Seattle, WA",Posted Today,3+ yrs,https://quickenloans.wd5.myworkdayjobs.com/en-US/rocket_careers/job/Seattle-WA/Data-Engineer-II---Snowflake-AI_R-082904,2026-05-07 15:30
"Data Engineer, Specialist",Vanguard,"Charlotte, NC",Posted Today,—,https://vanguard.wd5.myworkdayjobs.com/en-US/vanguard_external/job/Charlotte-NC/Data-Engineer--Specialist_177349,2026-05-08 08:45
Data Engineer I (US),TD Bank,"Mount Laurel, New Jersey",Posted Yesterday,2+ yrs,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/Mount-Laurel-New-Jersey/Data-Engineer-I--US-_R_1487448,2026-05-08 09:05
Data Engineer – Data Architecture for Data Science & Machine Learning,Penn State University,2 Locations,Posted Today,19+ yrs,https://psu.wd1.myworkdayjobs.com/en-US/PSU_Staff/job/Penn-State-University-Park/Data-Engineer---Data-Architecture-for-Data-Science---Machine-Learning_REQ_0000072887-2,2026-05-08 11:00
Data Engineer II,TD Bank,4 Locations,Posted Today,3+ yrs,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/Remote-Miami-FL/Data-Engineer-II_R_1487542,2026-05-08 14:15
Data Engineer II,Walmart,"Sunnyvale, CA",Posted Today,—,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Sunnyvale-CA/Data-Engineer-II_R-2502100,2026-05-10 08:45
Data Engineer,Maersk,2 Locations,Posted Today,—,https://maersk.wd3.myworkdayjobs.com/en-US/Maersk_Careers/job/India-Bengaluru-560064/Data-Engineer_R178352-1,2026-05-11 03:30
Data Engineer,S&P Global,2 Locations,Posted Today,4+ yrs,https://spgi.wd5.myworkdayjobs.com/en-US/SPGI_Careers/job/Gurugram-Haryana/Data-Engineer_325084-1,2026-05-11 11:15
"Data Engineer Associate - Asset Management Group (PySpark, Hadoop, SQL)",PNC,4 Locations,Posted Today,2+ yrs,https://pnc.wd5.myworkdayjobs.com/en-US/External/job/PA---Pittsburgh-15222/Data-Engineer-Associate---Asset-Management-Group--PySpark--Hadoop--SQL-_R219225-1,2026-05-11 11:30
Analytics Engineer,Snyk,United States - Boston Office,Posted Today,1-3 yrs,https://snyk.wd103.myworkdayjobs.com/en-US/external/job/United-States---Boston-Office/Analytics-Engineer_JR100631,2026-05-11 12:01
Data Engineer,Snyk,United States - Boston Office,Posted Today,3+ yrs,https://snyk.wd103.myworkdayjobs.com/en-US/external/job/United-States---Boston-Office/Data-Engineer_JR100626,2026-05-11 12:01
Data Engineer,Parsons Corporation,US - Remote (Any Location),Posted Today,3-8 yrs,https://parsons.wd5.myworkdayjobs.com/en-US/Search/job/US---Remote-Any-Location/Data-Engineer_R180058-1,2026-05-11 14:30
