title,company,location,posted,link,found_on
Data Scientist,Comcast,"PA - Philadelphia, 1701 John F Kennedy Blvd",Posted 2 Days Ago,https://comcast.wd5.myworkdayjobs.com/en-US/Comcast_Careers/job/PA---Philadelphia-1701-John-F-Kennedy-Blvd/Data-Scientist_R435597,2026-05-02 17:05
Machine Learning Specialist / Data Scientist,AT&T,"Naucalpan De Juarez, Estado de Mexico, Mexico",Posted 3 Days Ago,https://att.wd1.myworkdayjobs.com/en-US/ATTGeneral/job/Naucalpan-De-Juarez-Estado-de-Mexico-Mexico/Machine-Learning-Specialist---Data-Scientist_R-107555,2026-05-02 17:09
Data Scientist,General Dynamics IT,USA FL MacDill AFB,Posted 2 Days Ago,https://gdit.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/USA-FL-MacDill-AFB/Data-Scientist_RQ219160-1,2026-05-02 17:10
Data Scientist 2,Gap Inc.,NY 55 Thomas St,Posted 2 Days Ago,https://gapinc.wd1.myworkdayjobs.com/en-US/GAPINC/job/NY-55-Thomas-St/Data-Scientist-2_R211504,2026-05-02 17:11
Data Scientist,Visa,"US - Atlanta, GA",Posted 3 Days Ago,https://visa.wd5.myworkdayjobs.com/en-US/Visa/job/US---Atlanta-GA/Data-Scientist_REF080084W,2026-05-02 17:14
Data Scientist,Visa,"US - Foster City, CA",Posted 3 Days Ago,https://visa.wd5.myworkdayjobs.com/en-US/Visa/job/US---Foster-City-CA/Data-Scientist_REF078925W,2026-05-02 17:14
Data Scientist - Visa Consulting & Analytics,Visa,"IN - Bengaluru, India",Posted 3 Days Ago,https://visa.wd5.myworkdayjobs.com/en-US/Visa/job/IN---Bengaluru-India/Data-Scientist---Visa-Consulting---Analytics_REF080241W,2026-05-02 17:14
Data Scientist,Eli Lilly,"US, Indianapolis IN",Posted 3 Days Ago,https://lilly.wd5.myworkdayjobs.com/en-US/LLY/job/US-Indianapolis-IN/Data-Scientist_R-102438,2026-05-02 17:14
Data Scientist II,Thermo Fisher Scientific,"Remote, Brazil",Posted 2 Days Ago,https://thermofisher.wd5.myworkdayjobs.com/en-US/thermofishercareers/job/Remote-Brazil/Data-Scientist---Application-and-Mobile-Develoment_R-01328168,2026-05-02 17:14
Cleared Data Scientist,Guidehouse,"US - DC, Washington",Posted 3 Days Ago,https://guidehouse.wd1.myworkdayjobs.com/en-US/External/job/US---DC-Washington/Cleared-Data-Scientist_38698,2026-05-04 11:01
Associate Data Scientist,BlueCross BlueShield of Tennessee,"USA, TN, Chattanooga, Remote",Posted 3 Days Ago,https://bcbst.wd1.myworkdayjobs.com/en-US/External/job/USA-TN-Chattanooga-Remote/Associate-Data-Scientist_R-49629,2026-05-04 11:02
Data Scientist I,Bristol-Myers Squibb,Hyderabad - TS - IN,Posted Today,https://bristolmyerssquibb.wd5.myworkdayjobs.com/en-US/BMS/job/Hyderabad---TS---IN/Data-Scientist-I_R1600907-1,2026-05-04 11:02
Data Scientist,Amgen,US - IL - Deerfield,Posted Today,https://amgen.wd1.myworkdayjobs.com/en-US/Careers/job/US---IL---Deerfield/Data-Scientist_R-239041,2026-05-04 11:02
Applied AI Data Scientist,The Hartford Financial Services,"Hartford, CT",Posted 3 Days Ago,https://thehartford.wd5.myworkdayjobs.com/en-US/Careers_External/job/Hartford-CT/Applied-AI-Scientist_R2623835,2026-05-04 11:02
Data Scientist,CACI International,US VA Fort Belvoir,Posted 3 Days Ago,https://caci.wd1.myworkdayjobs.com/en-US/External/job/US-VA-Fort-Belvoir/Data-Scientist_325577,2026-05-04 11:02
"Data Scientist, Reuters",Thomson Reuters,,Posted 3 Days Ago,https://thomsonreuters.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/United-States-of-America-New-York-New-York/Data-Scientist--Reuters_JREQ200279,2026-05-04 11:02
Analyst Data Scientist / GenAI Engineer H/F,Accenture,,Posted Today,https://accenture.wd103.myworkdayjobs.com/en-US/AccentureCareers/job/Paris/Analyst-Data-Scientist---GenAI-Engineer-H-F_R00328316-1,2026-05-04 11:30
Data Scientist II,Applied Materials,"Santa Clara,CA",Posted Today,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/Data-Scientist-II_R2619158,2026-05-04 13:10
