title,company,location,posted,link,found_on
Data Scientist - Applied AI Research,Fidelity Investments,"Westlake, TX",Posted 3 Days Ago,https://fmr.wd1.myworkdayjobs.com/en-US/FidelityCareers/job/Westlake-TX/Data-Scientist---Applied-AI-Research_2123396,2026-05-02 16:54
"Data Scientist, Marketing",Fox Corporation,"Los Angeles, California, USA",Posted 2 Days Ago,https://fox.wd1.myworkdayjobs.com/en-US/Domestic/job/Los-Angeles-California-USA/Data-Scientist--Marketing_R50032451-1,2026-05-02 17:08
Principle AI & Data Scientist,Alignment Healthcare,Anywhere in the U.S.,Posted 3 Days Ago,https://alignmenthealthcare.wd12.myworkdayjobs.com/en-US/ahc_external/job/Anywhere-in-the-US/Principle-AI---Data-Scientist_R1942-1,2026-05-04 11:01
"Data Scientist, Reuters",Thomson Reuters,,Posted 3 Days Ago,https://thomsonreuters.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/United-States-of-America-New-York-New-York/Data-Scientist--Reuters_JREQ200279,2026-05-04 17:15
Data Scientist – 4-month Internship/Co-op (Fall 2026),Intact Financial,2 Locations,Posted Today,—,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Montral-Quebec-CAN/Data-Scientist---4-month-Internship-Co-op--Fall-2026-_R153319,2026-05-04 20:02
Data Scientist,RBC,3 Locations,Posted Today,—,https://rbc.wd3.myworkdayjobs.com/en-US/RBCGLOBAL1/job/TORONTO-Ontario-Canada/Data-Scientist_R-0000162817-1,2026-05-04 20:02
"Data Scientist, Forecasting",Tapestry,"New York, New York, USA (Corporate Headquarters)",Posted Today,—,https://tapestry.wd108.myworkdayjobs.com/en-US/Tapestry_Careers/job/New-York-New-York-USA-Corporate-Headquarters/Data-Scientist--Forecasting_JR_00002061,2026-05-04 20:02
"Data Scientist, Specialist",Vanguard,2 Locations,Posted 3 Days Ago,—,https://vanguard.wd5.myworkdayjobs.com/en-US/vanguard_external/job/Malvern-PA/Data-Scientist--Specialist_176931-1,2026-05-04 20:02
"Data Scientist, AI/ML – Visa Consulting and Analytics",Visa,"US - Ashburn, VA",Posted Today,2 yrs,https://visa.wd5.myworkdayjobs.com/en-US/Visa/job/US---Ashburn-VA/Data-Scientist--AI-ML---Visa-Consulting-and-Analytics_REF080319W,2026-05-04 20:02
AI/ML Data Scientist,Vanguard,2 Locations,Posted Today,8 yrs,https://vanguard.wd5.myworkdayjobs.com/en-US/vanguard_external/job/Malvern-PA/AI-ML-Data-Scientist_175363,2026-05-04 20:02
Data Scientist,Kyndryl,2 Locations,Posted Today,2-4 yrs,https://kyndryl.wd5.myworkdayjobs.com/en-US/KyndrylProfessionalCareers/job/Barcelona-Spain/Data-Scientist_R-60739,2026-05-05 07:00
Data Scientist (Remote),ICF International,"Reston, VA",Posted Today,—,https://icf.wd5.myworkdayjobs.com/en-US/ICFExternal_Career_Site/job/Reston-VA/Data-Scientist--Remote-_R2600828,2026-05-05 11:45
Mid-Level Data Scientist,USAA,2 Locations,Posted Today,4 yrs,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Mid-Level-Data-Scientist_R0114931,2026-05-05 15:31
Data Scientist,Visa,"US - Austin, TX",Posted Today,3+ yrs,https://visa.wd5.myworkdayjobs.com/en-US/Visa/job/US---Austin-TX/Data-Scientist_REF080084W,2026-05-05 15:31
